time	open	high	low	close	tick_volume	spread	real_volume
2025.10.13 17:14	1.15655	1.15664	1.15641	1.15643	75	0	0
2025.10.13 17:15	1.15644	1.15650	1.15630	1.15636	88	0	0
2025.10.13 17:16	1.15637	1.15666	1.15633	1.15663	75	0	0
2025.10.13 17:17	1.15662	1.15677	1.15655	1.15659	84	0	0
2025.10.13 17:18	1.15659	1.15684	1.15650	1.15674	124	0	0
2025.10.13 17:19	1.15674	1.15675	1.15661	1.15672	71	0	0
2025.10.13 17:20	1.15672	1.15672	1.15645	1.15651	85	0	0
2025.10.13 17:21	1.15651	1.15656	1.15631	1.15635	90	0	0
2025.10.13 17:22	1.15635	1.15646	1.15635	1.15641	104	0	0
2025.10.13 17:23	1.15641	1.15652	1.15638	1.15650	117	0	0
2025.10.13 17:24	1.15650	1.15664	1.15646	1.15659	80	0	0
2025.10.13 17:25	1.15659	1.15662	1.15634	1.15644	114	0	0
2025.10.13 17:26	1.15645	1.15664	1.15641	1.15649	99	0	0
2025.10.13 17:27	1.15649	1.15649	1.15633	1.15640	54	0	0
2025.10.13 17:28	1.15640	1.15640	1.15617	1.15620	90	0	0
2025.10.13 17:29	1.15620	1.15626	1.15614	1.15617	60	1	0
2025.10.13 17:30	1.15617	1.15632	1.15614	1.15630	80	0	0
2025.10.13 17:31	1.15630	1.15638	1.15607	1.15614	53	0	0
2025.10.13 17:32	1.15614	1.15626	1.15613	1.15626	60	0	0
2025.10.13 17:33	1.15626	1.15627	1.15615	1.15621	58	1	0
2025.10.13 17:34	1.15621	1.15652	1.15620	1.15625	113	0	0
2025.10.13 17:35	1.15625	1.15636	1.15619	1.15631	89	0	0
2025.10.13 17:36	1.15631	1.15651	1.15629	1.15634	58	0	0
2025.10.13 17:37	1.15634	1.15635	1.15609	1.15618	73	0	0
2025.10.13 17:38	1.15618	1.15625	1.15608	1.15621	59	0	0
2025.10.13 17:39	1.15621	1.15636	1.15611	1.15636	61	0	0
2025.10.13 17:40	1.15635	1.15643	1.15615	1.15619	120	0	0
2025.10.13 17:41	1.15619	1.15630	1.15613	1.15621	70	0	0
