Time,Open,High,Low,Close,Volume,RSI,Laguerre_RSI,Laguerre_Signal,Adaptive_Period,ATR
2025.10.15 23:08:00,1.16457,1.16468,1.16454,1.16468,19,74.73136,,0,,0.00010
2025.10.15 23:09:00,1.16468,1.16477,1.16466,1.16471,29,75.64064,,0,,0.00010
2025.10.15 23:10:00,1.16471,1.16476,1.16471,1.16472,14,75.95129,,0,,0.00010
2025.10.15 23:11:00,1.16472,1.16472,1.16468,1.16468,5,71.99616,,0,,0.00010
2025.10.15 23:12:00,1.16468,1.16468,1.16453,1.16454,13,60.18332,,0,,0.00010
2025.10.15 23:13:00,1.16453,1.16454,1.16449,1.16449,8,56.61083,,0,,0.00010
2025.10.15 23:14:00,1.16449,1.16449,1.16443,1.16444,15,53.20935,,0,,0.00010
2025.10.15 23:15:00,1.16444,1.16452,1.16441,1.16442,17,51.86689,,0,,0.00010
2025.10.15 23:16:00,1.16442,1.16444,1.16439,1.16441,13,51.17170,,0,,0.00010
2025.10.15 23:17:00,1.16441,1.16443,1.16431,1.16431,31,44.71712,,0,,0.00010
2025.10.15 23:18:00,1.16432,1.16435,1.16429,1.16435,7,47.56614,,0,,0.00010
2025.10.15 23:19:00,1.16435,1.16440,1.16432,1.16432,27,45.66534,,0,,0.00010
2025.10.15 23:20:00,1.16433,1.16438,1.16433,1.16438,17,49.97132,,0,32.53333,0.00010
2025.10.15 23:21:00,1.16438,1.16443,1.16437,1.16441,25,52.01881,,0,32.53333,0.00010
2025.10.15 23:22:00,1.16441,1.16442,1.16437,1.16438,7,49.82289,,0,35.09333,0.00010
2025.10.15 23:23:00,1.16438,1.16456,1.16437,1.16453,30,59.11604,,0,32.53333,0.00010
2025.10.15 23:24:00,1.16453,1.16466,1.16453,1.16466,49,65.14165,,0,28.88889,0.00010
2025.10.15 23:25:00,1.16466,1.16475,1.16463,1.16464,40,63.58890,,0,28.44444,0.00010
2025.10.15 23:26:00,1.16464,1.16464,1.16459,1.16462,31,61.99743,,0,30.17544,0.00010
2025.10.15 23:27:00,1.16462,1.16463,1.16459,1.16459,13,59.58832,,0,44.83721,0.00010
2025.10.15 23:28:00,1.16458,1.16458,1.16457,1.16457,22,57.97103,,0,56.00000,0.00009
2025.10.15 23:29:00,1.16457,1.16457,1.16438,1.16438,49,45.37235,,0,53.81818,0.00009
2025.10.15 23:30:00,1.16438,1.16458,1.16438,1.16445,44,49.70881,,0,45.81818,0.00009
2025.10.15 23:31:00,1.16445,1.16454,1.16442,1.16454,22,54.68910,,0,47.27273,0.00009
2025.10.15 23:32:00,1.16454,1.16458,1.16452,1.16457,11,56.24456,,0,48.00000,0.00009
2025.10.15 23:33:00,1.16457,1.16459,1.16453,1.16459,14,57.29702,,0,47.27273,0.00009
2025.10.15 23:34:00,1.16459,1.16461,1.16456,1.16456,23,55.15399,,0,47.27273,0.00009
2025.10.15 23:35:00,1.16456,1.16458,1.16456,1.16457,20,55.74813,,0,53.81818,0.00009
2025.10.15 23:36:00,1.16457,1.16459,1.16453,1.16454,16,53.45990,,0,53.81818,0.00009
2025.10.15 23:37:00,1.16454,1.16459,1.16453,1.16457,19,55.43004,,0,56.00000,0.00009
2025.10.15 23:38:00,1.16455,1.16458,1.16455,1.16458,13,56.09719,,0,56.00000,0.00008
2025.10.15 23:39:00,1.16458,1.16468,1.16457,1.16466,19,61.11220,,0,56.00000,0.00008
2025.10.15 23:40:00,1.16466,1.16467,1.16452,1.16454,39,51.59215,,0,55.49206,0.00008
2025.10.15 23:41:00,1.16454,1.16454,1.16450,1.16452,7,50.18885,,0,56.00000,0.00008
2025.10.15 23:42:00,1.16452,1.16458,1.16450,1.16451,20,49.46439,,0,54.42623,0.00008
2025.10.15 23:43:00,1.16451,1.16453,1.16445,1.16447,53,46.56873,,0,52.32787,0.00008
2025.10.15 23:44:00,1.16446,1.16448,1.16446,1.16447,18,46.56873,,0,56.00000,0.00008
2025.10.15 23:45:00,1.16447,1.16452,1.16439,1.16441,45,42.26454,,0,52.12121,0.00008
2025.10.15 23:46:00,1.16441,1.16444,1.16440,1.16442,11,43.20671,,0,53.09091,0.00008
2025.10.15 23:47:00,1.16442,1.16446,1.16441,1.16441,24,42.46051,,0,56.00000,0.00008
2025.10.15 23:48:00,1.16441,1.16442,1.16427,1.16438,76,40.21655,,0,51.15152,0.00008
2025.10.15 23:49:00,1.16438,1.16452,1.16438,1.16451,62,52.04373,,0,50.18182,0.00008
2025.10.15 23:50:00,1.16451,1.16454,1.16449,1.16449,29,50.39203,,0,50.66667,0.00008
2025.10.15 23:51:00,1.16449,1.16454,1.16449,1.16453,4,53.56609,,0,52.12121,0.00008
2025.10.15 23:52:00,1.16453,1.16458,1.16453,1.16454,14,54.35242,,0,52.60606,0.00008
2025.10.15 23:53:00,1.16454,1.16457,1.16449,1.16450,24,50.65707,,0,51.63636,0.00008
2025.10.15 23:54:00,1.16453,1.16462,1.16453,1.16459,25,57.63616,,0,48.24242,0.00009
